nom;y_lat;type_public;Timestamp;RowKey;x_long;num_quartier;PartitionKey;type_acces;payant;cle;operateur;situation;entityid;cp;geometrie;formation;geo_point_2d
Jardin Botanique 2;44.8445693741644;Tous;2015-05-06T11:12:22.2759534Z;25911ae4-59a5-4b78-8b90-b5b761ca0ad6;-0.55877795930834;7;ba52604a-7920-443b-bae6-72876d481e3a;Wifi;NON;278;Ville;Externe;ba52604a-7920-443b-bae6-72876d481e3a;33000;"{""type"": ""Point"", ""coordinates"": [-0.55877795930834, 44.8445693741644]}";;44.8445693742,-0.558777959308
Club senior Manon Cormier;44.8313735113726;Seniors;2015-05-06T11:12:24.249563Z;b5256448-2334-4c8e-a57a-0c221ba71f0d;-0.590466286287994;4;c1a4e68d-3aa9-4fb9-baa8-6c218b284e5e;Poste libre service;OUI;298;Ville;Interne;c1a4e68d-3aa9-4fb9-baa8-6c218b284e5e;33000;"{""type"": ""Point"", ""coordinates"": [-0.590466286287994, 44.8313735113726]}";oui;44.8313735114,-0.590466286288
Place Victoire 2;44.8309830857822;Tous;2015-05-06T11:12:24.9912984Z;b67a36c1-f52b-4eff-9f38-e62c45083f91;-0.572865956295554;6;d7f1ab38-2495-4b85-9b35-8cb73d004911;Wifi;NON;305;Ville;Externe;d7f1ab38-2495-4b85-9b35-8cb73d004911;33000;"{""type"": ""Point"", ""coordinates"": [-0.572865956295554, 44.8309830857822]}";non;44.8309830858,-0.572865956296
Quai Sport Maison Jardinier;44.8321808329079;Tous;2015-05-06T11:12:28.9197988Z;bc249da2-ddb5-4d28-ad65-781ba6b60677;-0.558416750698445;6;d9e7fa22-c53d-447d-8e47-848db1b2dcac;Wifi;NON;1010;Ville;Externe;d9e7fa22-c53d-447d-8e47-848db1b2dcac;;"{""type"": ""Point"", ""coordinates"": [-0.558416750698445, 44.8321808329079]}";;44.8321808329,-0.558416750698
Conservatoire;44.8312524242836;Tous;2015-05-06T11:12:20.8930284Z;55a44ec5-4298-4539-88d6-ab4b5dcba268;-0.560036618832484;6;e9ed2191-2100-491c-a1ba-648b49a483ab;Wifi;NON;321;Ville;Externe;e9ed2191-2100-491c-a1ba-648b49a483ab;33000;"{""type"": ""Point"", ""coordinates"": [-0.560036618832484, 44.8312524242836]}";;44.8312524243,-0.560036618832
Bibliothèque St Michel;44.8308409214513;Tous;2015-05-06T11:12:28.248179Z;7e6512f5-527f-4137-ab62-c87297daf932;-0.566911648044833;6;ecfca680-f9b3-4d11-afdb-d40b5eec5b13;Poste libre service;NON;334;Ville;Interne;ecfca680-f9b3-4d11-afdb-d40b5eec5b13;33000;"{""type"": ""Point"", ""coordinates"": [-0.566911648044833, 44.8308409214513]}";non;44.8308409215,-0.566911648045
Bibliothèque Aubiers Ouest;44.873678947015;Tous;2015-05-06T11:12:24.4585362Z;7e6760a7-9204-4387-b0a7-2e7854604367;-0.573212400039588;1;f2bfcc73-23ca-497b-9263-763acc9e7520;Wifi;NON;293;Ville;Externe;f2bfcc73-23ca-497b-9263-763acc9e7520;33000;"{""type"": ""Point"", ""coordinates"": [-0.573212400039588, 44.873678947015]}";;44.873678947,-0.57321240004
Club senior A. Faulat;44.8462189190718;Seniors;2015-05-06T11:12:25.3716652Z;6cc17a53-6467-4921-b2b2-33abea46905e;-0.614750435146855;8;fac569c7-82b2-4d51-b05c-2e26b0876d5d;Poste libre service;OUI;297;Ville;Interne;fac569c7-82b2-4d51-b05c-2e26b0876d5d;33000;"{""type"": ""Point"", ""coordinates"": [-0.614750435146855, 44.8462189190718]}";oui;44.8462189191,-0.614750435147
Mirroir Eau Nord 2;44.8422218729537;Tous;2015-05-06T11:12:28.0539639Z;3c3259e7-a553-498f-a898-f0f93718a1af;-0.569721776676866;3;fd6946ef-a416-4b50-af60-ca7aa8e76d60;Wifi;NON;311;Ville;Externe;fd6946ef-a416-4b50-af60-ca7aa8e76d60;33000;"{""type"": ""Point"", ""coordinates"": [-0.569721776676866, 44.8422218729537]}";non;44.842221873,-0.569721776677
Bibliothèque Lac;44.8737352808529;Tous;2015-05-06T11:12:21.3558366Z;7623302a-03ed-45ad-99d7-b396c9e0bbc7;-0.572938002888903;1;10982f47-f5df-4e90-aae5-1bd6e9795770;Poste libre service;NON;250;Ville;Interne;10982f47-f5df-4e90-aae5-1bd6e9795770;33000;"{""type"": ""Point"", ""coordinates"": [-0.572938002888903, 44.8737352808529]}";non;44.8737352809,-0.572938002889
